class_name,name,target_pct,display_order,buy_enabled,sell_enabled,currency_code
RF Pós,AUPO11,100.000000,0,true,true,BRL
RF Pós,Tesouro Selic 2031,0.000000,4,false,false,BRL
RF Pós,Tesouro Selic 2027,0.000000,5,false,false,BRL
RF Dinâmica,"CDB Pós  CDI+1,3% 05/04/2027 AGIBANK",0.000000,0,false,false,BRL
RF Dinâmica,FIXA11,25.000000,1,true,true,BRL
RF Dinâmica,KDIF11,12.500000,3,true,true,BRL
RF Dinâmica,Tesouro IPCA+ 2029,0.000000,4,false,false,BRL
RF Dinâmica,Tesouro IPCA+ 2035,0.000000,5,false,false,BRL
RF Dinâmica,Tesouro IPCA+ 2040,0.000000,6,false,false,BRL
RF Dinâmica,Tesouro IPCA+ 2045,0.000000,7,false,false,BRL
RF Dinâmica,Tesouro IPCA+ 2050,18.750000,8,true,true,BRL
RF Dinâmica,Tesouro Renda+ Aposentadoria Extra 2065,18.750000,9,true,true,BRL
RF Dinâmica,JURO11,12.500000,10,true,true,BRL
RF Dinâmica,CPTI11,12.500000,11,true,true,BRL
FII,BRCR11,5.000000,0,true,true,BRL
FII,LVBI11,3.300000,2,true,true,BRL
FII,PSEC11,10.000000,3,true,true,BRL
FII,PVBI11,10.000000,4,true,true,BRL
FII,RBRX11,8.300000,5,true,true,BRL
FII,RBVA11,6.700000,6,true,true,BRL
FII,TRXF11,10.000000,7,true,true,BRL
FII,VILG11,8.300000,8,true,true,BRL
FII,VISC11,6.700000,9,true,true,BRL
FII,XPCI11,10.000000,10,true,true,BRL
FII,XPML11,6.700000,11,true,true,BRL
FII,CPTS11,15.000000,12,true,true,BRL
Ações,GMAT3,13.340000,0,true,true,BRL
Ações,KEPL3,10.000000,1,true,true,BRL
Ações,PRIO3,23.330000,2,true,true,BRL
Ações,RDB Pós 100% CDI 01/06/2035,0.000000,3,false,false,BRL
Ações,SLCE3,13.330000,4,true,true,BRL
Ações,VAMO3,13.330000,5,true,true,BRL
Ações,WIZC3,26.670000,6,true,true,BRL
Internacional,HTEK11,3.000000,0,true,true,BRL
Internacional,IAU,9.000000,1,true,true,USD
Internacional,IVV,25.000000,2,true,true,USD
Internacional,IVVB11,0.000000,3,false,false,BRL
Internacional,NUCL11,3.000000,4,true,true,BRL
Internacional,QQQ,12.000000,5,true,true,USD
Internacional,SMH,14.000000,6,true,true,USD
Internacional,VNQ,7.000000,8,true,true,USD
Internacional,VT,25.000000,9,true,true,USD
Internacional,TFLO,2.000000,10,true,true,BRL
