class_name,name,target_pct,display_order,buy_enabled,sell_enabled,currency_code
RF Dinâmica,"CDB Pós  CDI+1,3% 05/04/2027 AGIBANK",0.00,0,false,false,BRL
RF Dinâmica,Tesouro IPCA+ 2035,0.00,2,false,false,BRL
RF Dinâmica,Tesouro IPCA+ 2045,0.00,3,false,false,BRL
RF Dinâmica,FIXA11,25.00,4,true,true,BRL
RF Dinâmica,JURO11,12.50,5,true,true,BRL
RF Dinâmica,KDIF11,12.50,6,true,true,BRL
RF Dinâmica,Tesouro IPCA+ 2050,18.75,7,true,true,BRL
RF Dinâmica,Tesouro Renda+ Aposentadoria Extra 2065,18.75,8,true,true,BRL
RF Dinâmica,CPTI11,12.50,9,true,true,BRL
RF Pós,Conta corrente em dólar Avenue,0.00,0,false,false,BRL
RF Pós,RDB Pós 120% CDI 15/05/2028 Caixinha Turbo NuCel,0.00,1,false,false,BRL
RF Pós,Tesouro Selic 2029,0.00,4,false,false,BRL
RF Pós,Tesouro Selic 2031,0.00,5,false,false,BRL
RF Pós,AUPO11,100.00,6,true,true,BRL
RF Pós,RDB Pós 120% CDI 04/06/2027 Caixinha Ultravioleta,0.00,7,false,false,BRL
Internacional,IVVB11,0.00,0,true,true,BRL
Internacional,IAU,9.00,1,true,true,USD
Internacional,IVV,25.00,2,true,true,USD
Internacional,QQQ,12.00,3,true,true,USD
Internacional,SMH,14.00,4,true,true,USD
Internacional,TFLO,2.00,5,true,true,USD
Internacional,VNQ,7.00,6,true,true,USD
Internacional,VT,25.00,7,true,true,USD
Internacional,NUCL11,3.00,8,true,true,BRL
Internacional,HTEK11,3.00,9,true,true,BRL
FII,BRCR11,5.00,0,true,true,BRL
FII,CPTS11,15.00,1,true,true,BRL
FII,LVBI11,3.33,2,true,true,BRL
FII,PSEC11,10.00,3,true,true,BRL
FII,PVBI11,10.00,4,true,true,BRL
FII,RBRX11,8.33,5,true,true,BRL
FII,RBVA11,6.67,6,true,true,BRL
FII,TRXF11,10.00,7,true,true,BRL
FII,VILG11,8.33,8,true,true,BRL
FII,VISC11,6.67,9,true,true,BRL
FII,XPCI11,10.00,10,true,true,BRL
FII,XPML11,6.67,11,true,true,BRL
Cripto,BTC,100.00,0,true,true,BRL
Ações,RDB Pós 100% CDI 01/06/2035,0.00,0,true,true,BRL
Ações,RDB Pós 100% CDI 01/08/2033,0.00,1,true,true,BRL
Ações,PRIO3,23.33,2,true,true,BRL
Ações,GMAT3,16.67,3,true,true,BRL
Ações,KEPL3,13.33,4,true,true,BRL
Ações,SLCE3,13.33,5,true,true,BRL
Ações,VAMO3,13.33,6,true,true,BRL
Ações,WIZC3,13.33,7,true,true,BRL
Ações,BRBI11,6.67,8,true,true,BRL
